as_of,ticker,name,sector,industry,currency,quote_type,price,market_cap,shares_outstanding,pe_trailing,pe_forward,pbv,eps_ttm,book_value_per_share,roe,roa,profit_margin,operating_margin,earnings_growth,revenue_growth,debt_to_equity,current_ratio,free_cashflow,total_cash,total_debt,dividend_yield,payout_ratio,five_year_avg_dividend_yield,provider,provider_version,schema_version
2026-09-22,FAST,PT Fast Food Indonesia Tbk,Consumer Cyclical,Restaurants,IDR,EQUITY,424.0,1916650651648,4520402492,,,7.9115,-67.01,53.59,-1.06915,-0.02609,-0.05392,-0.0673,,0.136,577.298,0.316,61010489344,147029704704,2360821940224,,0.0,1.67,yfinance,0.2.65,1
2026-09-22,FILM,PT.MD Entertainment Tbk,Communication Services,Entertainment,IDR,EQUITY,715.0,7784609873920,10887566758,,,2.4996,-19.99,286.05,-0.0878,-0.02318,-0.42666,-0.00046,,-0.243,12.248,1.536,327855964160,268149866496,390212878336,,0.0,,yfinance,0.2.65,1
2026-09-22,FISH,PT FKS Multi Agro Tbk,Consumer Defensive,Food Distribution,IDR,EQUITY,675.0,3239999963136,4800000000,63.3803,,19285.715,10.65,0.04,0.05856,0.02314,0.00812,-0.0003,-0.716,0.032,75.939,1.372,44187304,103947704,135001168,2.22,1.3,4.45,yfinance,0.2.65,1
2026-09-22,FMII,PT Fortune Mate Indonesia Tbk,Real Estate,Real Estate - Development,IDR,EQUITY,238.0,1523200032768,6400000000,,,2.1975,-0.64,108.31,-0.00587,-0.00298,-0.77038,0.15453,,,6.546,3.231,-4843874816,1599289728,45389819904,,0.0,,yfinance,0.2.65,1
2026-09-22,FOLK,PT Multi Garam Utama Tbk,Consumer Cyclical,Internet Retail,IDR,EQUITY,240.0,981925756928,4091357544,,,7.2198,-2.76,33.24,-0.15718,-0.11258,-0.61522,-0.41822,,0.074,2.718,6.083,-14702169088,45363687424,3265377792,,0.0,,yfinance,0.2.65,1
2026-09-22,FORE,PT Fore Kopi Indonesia Tbk,Consumer Cyclical,Restaurants,IDR,EQUITY,805.0,7179279007744,8918359270,68.8034,35.0,9.7321,11.7,82.72,0.15258,0.07773,0.05685,0.11737,0.171,0.512,33.263,1.226,76297887744,263964213248,245381005312,,0.0,,yfinance,0.2.65,1
2026-09-22,FPNI,PT Lotte Chemical Titan Tbk,Basic Materials,Specialty Chemicals,IDR,EQUITY,525.0,2922367156224,5566414000,9.8499,,26250.0,53.3,0.02,0.16114,0.02988,0.04814,0.08545,,0.419,0.132,1.531,17144124,35195000,147000,,0.0,,yfinance,0.2.65,1
2026-09-22,FUTR,PT Futura Energi Global Tbk,Utilities,Utilities - Renewable,IDR,EQUITY,260.0,1725243457536,6635551959,,,10.1682,-8.13,25.57,-0.26032,-0.14124,-2.86313,-0.97279,,-0.543,3.212,7.019,9375418368,30968856576,5450355712,,0.0,,yfinance,0.2.65,1
2026-09-22,GDST,PT Gunawan Dianjaya Steel Tbk,Basic Materials,Steel,IDR,EQUITY,126.0,1164555059200,9242500000,11.6992,,0.7856,10.77,160.39,0.07093,0.01402,0.04754,0.0501,13.107,-0.035,107.729,0.99,-39969779712,1302656057344,1596961849344,1.8,0.2321,,yfinance,0.2.65,1
2026-09-22,GEMS,PT Golden Energy Mines Tbk,Energy,Thermal Coal,IDR,EQUITY,7200.0,42352940941312,5882353000,10.4069,,54135.336,691.85,0.13,0.2897,0.1617,0.09579,0.18401,-0.294,-0.101,16.585,1.766,140337744,141001248,131087592,3.23,0.9234,13.49,yfinance,0.2.65,1
2026-09-22,GGRP,PT Gunung Raja Paksi Tbk,Basic Materials,Steel,IDR,EQUITY,334.0,4045199638528,12111376157,,,6301.8867,-20.26,0.05,-0.02113,-0.01885,-0.06591,-0.0064,,0.551,19.235,1.845,-61065044,8914758,122440424,8.33,0.0,,yfinance,0.2.65,1
2026-09-22,GIAA,PT. Garuda Indonesia (Persero) Tbk,Industrials,Airlines,IDR,EQUITY,63.0,25646778548224,25886576253,,,,-1.06,-0.0,,0.01667,-0.08984,0.06287,,0.054,5399.223,0.981,-15315299,857640000,3684969984,,0.0,,yfinance,0.2.65,1
2026-09-22,GJTL,PT. Gajah Tunggal Tbk,Consumer Cyclical,Auto Parts,IDR,EQUITY,1305.0,4547218505728,3484458600,2.8555,5.6987,0.4131,457.01,3159.14,0.1532,0.05787,0.08759,0.1013,3.277,0.166,52.776,1.466,-608099500032,1279596953600,5809530994688,6.13,0.1751,0.93,yfinance,0.2.65,1
2026-09-22,GMFI,PT Garuda Maintenance Facility Aero Asia Tbk,Industrials,Aerospace & Defense,IDR,EQUITY,56.0,6990774403072,124835258434,3.7383,6.2787,55999.996,14.98,0.0,,0.07382,0.06173,0.09661,-0.763,0.858,251.539,1.085,27061344,42503384,363775744,,0.0,,yfinance,0.2.65,1
2026-09-22,GMTD,PT Gowa Makassar Tourism Development Tbk,Real Estate,Real Estate - Development,IDR,EQUITY,1195.0,1213379117056,1015380000,40.8128,,1.3856,29.28,862.44,0.03443,0.01393,0.10779,0.31092,0.928,0.422,0.016,2.325,46933917696,42524528640,144409632,0.34,0.1382,0.38,yfinance,0.2.65,1
